,english word,e_score,turkish word,score
0,0-8,0.1,0-8,0.1
1,0_o,-0.3,0_o,-0.3
2,10q,2.1,10q,2.1
3,1337,2.1,1337,2.1
4,143,3.2,143,3.2
5,1432,2.6,1432,2.6
6,14aa41,2.4,14aa41,2.4
7,182,-2.9,182,-2.9
8,187,-3.1,187,-3.1
9,2g2b4g,2.8,2g2b4g,2.8
10,2g2bt,-0.1,Cevap,-0.1
11,2qt,2.1,2т,2.1
12,4col,-2.2,4COL,-2.2
13,4q,-3.1,4q,-3.1
14,5fs,1.5,5fs,1.5
15,8-d,1.7,8-D,1.7
16,8-o,-0.3,8-o,-0.3
17,86,-1.6,86,-1.6
18,8d,2.9,8d,2.9
19,<3,1.9,<3,1.9
20,=-3,2.0,=-3,2.0
21,=-d,2.4,= -d,2.4
22,=-D,2.4,= -D,2.4
23,=3,2.1,=3,2.1
24,=d,2.3,d =,1.5
25,=D,2.3,= D,2.3
26,=l,-1.2,= l,-1.2
27,=p,1.3,p =,1.3
28,>.<,-1.3,>.<,-1.3
29,>_>^,2.1,>_>^,2.1
30,aas,2.5,aas,2.5
31,aayf,2.7,Canlı,2.7
32,afu,-2.9,Afu,-2.9
33,alol,2.8,alol,2.8
34,ambw,2.9,ambw,2.9
35,aml,3.4,sıklıkla,3.4
36,atab,-1.9,sekme,-1.9
37,awol,-1.3,asker kaçağı,-1.3
38,ayc,0.2,Bir,0.2
39,ayor,-1.2,aYOR,-1.2
40,aug-00,0.3,Ağustos-00,0.3
41,bfd,-2.7,bfd,-2.7
42,bfe,-2.6,BFE,-2.6
43,bff,2.9,bff,2.9
44,bffn,1.0,bffn,1.0
45,bl,2.3,bl,2.3
46,bsod,-2.2,BSOD,-2.2
47,btd,-2.1,btd,-2.1
48,btdt,-0.1,btdt,-0.1
49,bz,0.4,bz,0.4
50,b^d,2.6,b ^ d,2.6
51,cwot,-2.3,quot,-2.3
52,d8,-3.2,E 8,-3.2
53,d=,1.5,namaz,-2.3
54,doa,-2.3,dx,-3.0
55,dx,-3.0,bu,1.5
56,ez,1.5,fav,2.0
57,fav,2.0,fcol,-1.8
58,fcol,-1.8,ff,1.8
59,ff,1.8,ffs,-2.8
60,ffs,-2.8,FKM,-2.4
61,fkm,-2.4,foaf,1.8
62,foaf,1.8,ftw,2.0
63,ftw,2.0,mengene,-3.7
64,fu,-3.7,fubar,-3.0
65,fubar,-3.0,fwb,2.5
66,fwb,2.5,Bilginize,0.8
67,fyi,0.8,vize,0.4
68,fysa,0.4,g1,1.4
69,g1,1.4,İyi oyun,1.2
70,gg,1.2,Hayır,1.7
71,gga,1.7,gigo,-0.6
